subid,HighRewAssocHit,LowRewAssocHit,HighRewCatHit,LowRewCatHit,HighRewGistHit,LowRewGistHit,HighRewTrueGist,LowRewTrueGist,HighRewSimGist,LowRewSimGist,HighRewincatGist,LowRewincatGist,HighRewAssocCatError,LowRewAssocCatError,HighRewAssocSimError,LowRewAssocSimError,HighRewAssocincatError,LowRewAssocincatError,HighRewImagine,LowRewImagine,HighRewHitDay2,LowRewHitDay2,HighRewHitRetrievedDay2,LowRewHitRetrievedDay2,FalseAlarmsDay2,HighRewAssocHitDay2,LowRewAssocHitDay2,HighRewAssocRetrievedHitDay2,LowRewAssocRetrievedHitDay2,HighRewCatHitDay2,LowRewCatHitDay2,HighRewCatRetrievedHitDay2,LowRewCatRetrievedHitDay2,HighRewGistHitDay2,LowRewGistHitDay2,HighRewGistRetrievedHitDay2,LowRewGistRetrievedHitDay2,HighRewTrueGistDay2,LowRewTrueGistDay2,HighRewTrueGistRetrievedDay2,LowRewTrueGistRetrievedDay2,HighRewSimGistDay2,LowRewSimGistDay2,HighRewSimGistRetrievedDay2,LowRewSimGistRetrievedDay2,HighRewincatGistDay2,LowRewincatGistDay2,HighRewincatGistRetrievedDay2,LowRewincatGistRetrievedDay2,HighRewAssocDay2CatError,LowRewAssocDay2CatError,HighRewAssocRetrievedDay2CatError,LowRewAssocRetrievedDay2CatError,HighRewAssocDay2incatError,LowRewAssocDay2incatError,HighRewAssocRetrievedDay2incatError,LowRewAssocRetrievedDay2incatError,HighRewAssocDay2SimError,LowRewAssocDay2SimError,HighRewAssocRetrievedDay2SimError,LowRewAssocRetrievedDay2SimError
586,0.90625,0.84375,0.9375,0.9375,0.03125,0.09375,0.333333333333333,0.6,0.333333333333333,0.2,0,0.4,0.0625,0.0625,0.03125,0.03125,0,0.0625,1.64516129032258,2.14035087719298,0.4375,0.1875,0.8125,0.875,0.0078125,0.45,0.3,0.333333333333333,0.314814814814815,0.55,0.3,0.462962962962963,0.5,0.1,0,0.12962962962963,0.185185185185185,0.4,0,0.368421052631579,0.526315789473684,0.4,0,0.157894736842105,0.315789473684211,0,0,0.210526315789474,0.210526315789474,0.15,0,0.0185185185185185,0.0185185185185185,0,0,0.0740740740740741,0.0740740740740741,0.1,0,0.0555555555555556,0.111111111111111
587,0.875,0.5,0.9375,0.9375,0.0625,0.4375,0.5,0.875,0,0.375,0.5,0.5,0.0625,0.0625,0,0.1875,0.0625,0.25,1.98245614035088,1.86206896551724,0.8125,0.4375,0.9375,0.84375,0.0390625,0.375,0.15,0.491228070175439,0.263157894736842,0.425,0.35,0.508771929824561,0.473684210526316,0.05,0.2,0.0175438596491228,0.210526315789474,0.105263157894737,0.421052631578947,0.0714285714285714,0.857142857142857,0.0526315789473684,0.157894736842105,0,0.428571428571429,0.0526315789473684,0.263157894736842,0.0714285714285714,0.428571428571429,0.225,0,0.0175438596491228,0,0.025,0.125,0.0175438596491228,0.105263157894737,0.025,0.075,0,0.105263157894737
588,0.78125,0.90625,0.90625,0.9375,0.125,0.03125,0.571428571428571,0.333333333333333,0.428571428571429,0,0.142857142857143,0.333333333333333,0.09375,0.0625,0.09375,0,0.03125,0.03125,2.45161290322581,2.265625,0.4375,0.59375,0.875,0.9375,0.03125,0.242424242424242,0.333333333333333,0.344827586206897,0.327586206896552,0.363636363636364,0.454545454545455,0.448275862068966,0.46551724137931,0.121212121212121,0.121212121212121,0.103448275862069,0.137931034482759,0.285714285714286,0.285714285714286,0.315789473684211,0.421052631578947,0.142857142857143,0.0714285714285714,0.263157894736842,0.263157894736842,0.142857142857143,0.214285714285714,0.0526315789473684,0.157894736842105,0.0606060606060606,0.121212121212121,0.0344827586206897,0.0517241379310345,0.0606060606060606,0.0909090909090909,0.0172413793103448,0.0517241379310345,0.0606060606060606,0.0303030303030303,0.0862068965517241,0.0862068965517241
591,0.25,0.28125,0.4375,0.84375,0.1875,0.5625,0.25,0.782608695652174,0.125,0.565217391304348,0.125,0.217391304347826,0.5625,0.15625,0.09375,0.40625,0.09375,0.15625,1.25,1.35087719298246,0.03125,0.03125,0.3125,0.40625,0.0078125,0,0,0.130434782608696,0.217391304347826,0,0.5,0.260869565217391,0.434782608695652,0,0.5,0.130434782608696,0.217391304347826,0,0.5,0.2,0.333333333333333,0,0.5,0.0666666666666667,0.266666666666667,0,0,0.133333333333333,0.0666666666666667,0.5,0,0.173913043478261,0.130434782608696,0,0,0.0869565217391304,0.0434782608695652,0,0.5,0.0434782608695652,0.173913043478261
592,0.65625,0.59375,0.84375,0.84375,0.1875,0.25,0.545454545454545,0.615384615384615,0.181818181818182,0.153846153846154,0.363636363636364,0.461538461538462,0.15625,0.15625,0.0625,0.0625,0.125,0.1875,1.265625,1.25,0.375,0.5,0.75,0.875,0.0234375,0.321428571428571,0.25,0.288461538461538,0.269230769230769,0.392857142857143,0.464285714285714,0.307692307692308,0.423076923076923,0.0714285714285714,0.214285714285714,0.0192307692307692,0.153846153846154,0.166666666666667,0.5,0.0434782608695652,0.347826086956522,0.0833333333333333,0.0833333333333333,0.0434782608695652,0.217391304347826,0.0833333333333333,0.416666666666667,0,0.130434782608696,0.0357142857142857,0.107142857142857,0.153846153846154,0.115384615384615,0.0357142857142857,0.178571428571429,0,0.0576923076923077,0.0357142857142857,0.0357142857142857,0.0192307692307692,0.0961538461538462
593,0.875,0.71875,0.96875,0.90625,0.09375,0.1875,0.75,0.666666666666667,0.25,0.222222222222222,0.5,0.444444444444444,0.03125,0.09375,0.03125,0.0625,0.0625,0.125,2.796875,1.53968253968254,0.3125,0.5,0.75,0.625,0.0078125,0.192307692307692,0.346153846153846,0.477272727272727,0.272727272727273,0.230769230769231,0.461538461538462,0.545454545454545,0.409090909090909,0.0384615384615385,0.115384615384615,0.0681818181818182,0.136363636363636,0.0833333333333333,0.25,0.272727272727273,0.545454545454545,0,0.0833333333333333,0.0909090909090909,0.454545454545455,0.0833333333333333,0.166666666666667,0.181818181818182,0.0909090909090909,0.153846153846154,0.153846153846154,0,0.0454545454545455,0.0384615384615385,0.0769230769230769,0.0454545454545455,0.0227272727272727,0,0.0384615384615385,0.0227272727272727,0.113636363636364
595,0.71875,0.71875,0.75,0.84375,0.03125,0.125,0.111111111111111,0.444444444444444,0,0.444444444444444,0.111111111111111,0,0.25,0.15625,0,0.125,0.03125,0,2.26229508196721,1.90625,0.3125,0.28125,0.59375,0.78125,0.015625,0.315789473684211,0.157894736842105,0.340909090909091,0.227272727272727,0.473684210526316,0.421052631578947,0.386363636363636,0.431818181818182,0.157894736842105,0.263157894736842,0.0454545454545455,0.204545454545455,0.3,0.5,0.105263157894737,0.473684210526316,0.1,0.3,0,0.421052631578947,0.2,0.2,0.105263157894737,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0454545454545455,0.136363636363636,0.105263157894737,0.105263157894737,0.0454545454545455,0.0227272727272727,0.0526315789473684,0.157894736842105,0,0.181818181818182
596,0.75,0.625,0.84375,0.875,0.09375,0.25,0.375,0.666666666666667,0.125,0.25,0.25,0.416666666666667,0.15625,0.125,0.03125,0.09375,0.0625,0.15625,1,1.65625,0.15625,0.0625,0.5,0.375,0,0.571428571428571,0.142857142857143,0.464285714285714,0.25,0.571428571428571,0.285714285714286,0.571428571428571,0.285714285714286,0,0.142857142857143,0.107142857142857,0.0357142857142857,0,0.5,0.375,0.125,0,0,0.25,0,0,0.5,0.125,0.125,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0.0357142857142857,0.0357142857142857,0,0,0.0714285714285714,0
597,0.75,0.75,0.90625,0.875,0.15625,0.125,0.625,0.5,0.25,0.375,0.375,0.125,0.09375,0.125,0.0625,0.09375,0.09375,0.03125,1.93650793650794,1.828125,0.5625,0.59375,0.84375,0.90625,0.046875,0.27027027027027,0.216216216216216,0.339285714285714,0.357142857142857,0.378378378378378,0.405405405405405,0.410714285714286,0.464285714285714,0.108108108108108,0.189189189189189,0.0714285714285714,0.107142857142857,0.210526315789474,0.368421052631579,0.235294117647059,0.352941176470588,0.0526315789473684,0.210526315789474,0.117647058823529,0.235294117647059,0.157894736842105,0.157894736842105,0.117647058823529,0.117647058823529,0.108108108108108,0.108108108108108,0.0714285714285714,0.0535714285714286,0.0810810810810811,0.0810810810810811,0.0357142857142857,0.0357142857142857,0.027027027027027,0.108108108108108,0.0357142857142857,0.0714285714285714
598,0.84375,0.8125,0.90625,0.90625,0.0625,0.09375,0.4,0.5,0,0.5,0.4,0,0.09375,0.09375,0,0.09375,0.0625,0,1,1.34375,0.3125,0.125,0.90625,0.84375,0.0078125,0.357142857142857,0.214285714285714,0.446428571428571,0.285714285714286,0.357142857142857,0.285714285714286,0.5,0.446428571428571,0,0.0714285714285714,0.0535714285714286,0.160714285714286,0,0.166666666666667,0.2,0.6,0,0,0.2,0.333333333333333,0,0.166666666666667,0,0.266666666666667,0.357142857142857,0,0.0178571428571429,0.0357142857142857,0,0.0714285714285714,0,0.0714285714285714,0,0,0.0535714285714286,0.0892857142857143
