subid,highrewardERS,lowrewardERS,highrewardencsim,lowrewardencsim,highrewardretsim,lowrewardretsim
541,0.0607776415606377,0.0611149770283741,NA,NA,NA,NA
542,0.0784567549728214,0.11844271086841,NA,NA,NA,NA
545,0.0437583071034428,0.0357102974009825,0.0769615963613871,0.0556046116522277,0.0463127058070311,0.0289807657796979
548,0.0433076261982344,0.0671581833905771,NA,NA,NA,NA
549,0.134915743172359,0.17439636211424,NA,NA,NA,NA
550,0.134322430870284,0.103620477263178,0.236605302609173,0.2086327316905,0.151025835855641,0.123248110897749
552,0.148739378515902,0.169902702851481,0.249687100950188,0.245903397848424,0.136055065567711,0.160574163937049
557,0.101394209454754,0.0769617009234903,0.1667176717897,0.129649785175742,0.0716965667174305,0.0707494844761833
558,0.179384586913684,0.193895379392987,0.365225819452208,0.412036069377447,0.108633518878999,0.120335843139395
559,0.0526666790441402,0.0394325249541703,0.0368595536209388,0.0344971250900905,0.0812001128178465,0.0722880427155138
560,0.172957515923748,0.150837742052283,0.187734399079491,0.182345003375071,0.172800714530565,0.150699830983467
561,0.0195868862124889,0.0159600408297061,0.0231988618344678,0.0143486229716396,0.125782656057335,0.10855207421248
562,0.131846828807741,0.154139429116684,0.12558430601034,0.142336087690236,0.183977232312441,0.183975327455247
563,0.27777978491203,0.28074162798376,0.383880661129856,0.401377298849215,0.306398468611461,0.302175721561372
566,0.155163906838079,0.129479532936672,0.171849600898363,0.173831224094818,0.166925346073927,0.153591686027718
570,0.130015964825854,0.111255820219892,NA,NA,NA,NA
573,0.160565879012891,0.143274083079477,NA,NA,NA,NA
574,0.198666530644819,0.162300271903408,0.211503358739813,0.183257420053083,0.151138357479453,0.158006767771753
576,0.203984194953174,0.200001455998174,0.287420411291754,0.28255620888348,0.224742151748077,0.243545191378365
577,0.0921673739114111,0.113849044348293,0.129391335249009,0.143675712290934,0.104309512484225,0.126701337805534
581,0.133905840149279,0.117863850079767,NA,NA,NA,NA
582,0.111041618626682,0.110916839717739,0.201271312318844,0.116747567755282,0.0826800762556242,0.0664724341519739
584,0.142846390053054,0.120109460835621,0.211143663082656,0.166878353415063,0.115237026353751,0.0895311862491711
586,0.144986828258778,0.140092064425674,0.227877944718085,0.19777320031874,0.133506103440514,0.160925462056576
587,0.252495167547134,0.254488781616236,0.381142461588086,0.327946387212155,0.254289501292365,0.285870388988594
588,0.17076010004605,0.199330866608704,0.262120998867149,0.281721964751397,0.175791921674902,0.198388515698344
591,0.135736795217775,0.155397400565475,0.22259947150442,0.208393799149446,0.0986896325095979,0.106484124435933
592,0.36733223586962,0.330519485202796,0.478012648722031,0.449727685891346,0.307949795751354,0.281027206388935
593,0.149939768771143,0.172567708448206,0.197050668264897,0.20391035190522,0.149920771292161,0.196855912300026
595,0.120842422810545,0.0866231747649846,0.146640227103714,0.116495931468377,0.123798086939427,0.10158673044832
596,0.148152846987834,0.121044800591432,0.21902020841956,0.183338404811339,0.157530238932798,0.14960829882082
597,0.186319078239989,0.206478292247661,0.452683206202264,0.434750238407029,0.14025063588614,0.136882437055073
598,0.1923132613203,0.166601627033091,0.2626813147158,0.237480342427894,0.183147750371057,0.159083967705771
601,0.172415375941991,0.156752152064774,0.217467054306806,0.173816747003397,0.155221126906785,0.12220932248019
602,0.201809869320419,0.149371010685183,0.265992978252098,0.225235671029168,0.26296250738884,0.233569750687099
604,0.0652818623328945,0.0308947804966719,NA,NA,NA,NA
605,0.0612948893638022,0.0745429808325272,0.102255025839724,0.0996841340136298,0.0587480369226657,0.0951073537541677
608,0.187931353245014,0.147507727674881,0.331532614295031,0.276772746432413,0.161865943854586,0.131492017214789
609,0.263803951081792,0.265258808052323,0.364031951302232,0.340516662726493,0.246141729128563,0.272220602247631
615,0.0788882776836352,0.092886513716431,0.0271938504074255,0.0154476498257758,0.131365151317006,0.150654001607811
617,0.144498937438809,0.152828003459854,0.203679517224337,0.184598602899266,0.125001550826237,0.15081471639523
622,0.186237157093223,0.145976167655163,0.222902026574603,0.212786377725858,0.131199828491767,0.146833001117862
626,0.185216715616799,0.154960742927024,0.21597865193295,0.191170013563313,0.214472901852859,0.244992723536609
627,0.120829170830231,0.0907548179229353,NA,NA,NA,NA
629,0.0837896498471274,0.0694375673173404,0.10810672182435,0.0843822756784239,0.115686001087922,0.090922828607238
631,0.149652120005664,0.113871222471452,NA,NA,NA,NA
634,0.0763491531937348,0.0952885330243387,NA,NA,NA,NA
635,0.137980106963898,0.172715111034986,0.283788998303291,0.288933329583718,0.102682353071088,0.139902122745103
636,0.138411138106817,0.131781582220587,0.114537937379491,0.105711308980157,0.162218837840872,0.150902594087851
637,0.265490597724052,0.268083226650216,0.36109110608494,0.359753128671279,0.214552858076719,0.233210779474632
638,0.0105018231244486,0.0158877034040911,0.055748067299682,0.0693832607422959,0.0213881880984771,0.0193786406887986
641,0.138680168405081,0.137346547791837,0.220134401375372,0.2140541790591,0.138464227893252,0.131207323920387
642,0.116315403614432,0.0781084131326862,0.139287122279839,0.0936294251555708,0.151388947376822,0.120833140994893
643,0.0723510640421313,0.0720593902136146,0.0699382176509766,0.0628297959531975,0.0799990194584882,0.0796157069913336
644,0.143943770041785,0.134948812887037,0.213698863353928,0.204412749022144,0.157849848872617,0.131690007436944
645,0.0986184120728034,0.0778123312640917,NA,NA,NA,NA
646,0.14670146710191,0.200975802353543,0.247530166784518,0.310248069188708,0.1104078091884,0.168106825080295
647,0.049626940438304,0.0721323540582083,0.118197287114666,0.109128541518059,0.0694118907605131,0.0534957886912905
648,0.186592380891813,0.214272867118587,0.24123181929622,0.235234691421103,0.216327708431387,0.249034914268789
649,0.239122456093555,0.205421640648677,0.37476668002636,0.307342854394781,0.220081421020066,0.194358150405487
650,0.135200558885879,0.147327552238095,0.16795798972506,0.18398282163208,0.121486651380922,0.136235473498036
651,0.0990413885617626,0.128909093371327,0.210664332041875,0.184904213739845,0.0962599380807389,0.111974313101031
653,0.226049971617563,0.234737118416373,0.322785209036721,0.33626168319597,0.195287105928161,0.192318195662258
654,0.135682062311037,0.136576208997828,0.177017055192619,0.163128296575681,0.134424140998903,0.145351824425399
655,0.191266764814233,0.174568821140321,NA,NA,NA,NA
656,0.164068087877489,0.167134891924667,0.265759223292499,0.262788353245625,0.126399344511298,0.145318667478463
